1000099;OTHEXT001;UNIT000002
1000099;OTHEXT001;UNIT00001
1000099;RUIISTI020;UNIT000002
1000099;RUIISTI088;UNIT00001
1000100;FACADD019;UNIT00001
1000100;RUOORGA001;UNIT00001
1000313;FACREG002;UNIT08624
1000313;OTHEXT001;UNIT08624
1000313;RUIISTI069;UNIT08624
1000313;RUOORGA001;UNIT08624
1000313;RUOORGA021;UNIT08624
1000356;FACREG002;UNIT08628
1000356;RUOORGA001;UNIT08628
1000383;PTAREG002;UNIT09626
1000383;RUOORGA001;UNIT09626
1000421;OTHEXT001;UNIT00001
1000421;PTAREG003;UNIT00012
1000421;PTAREG003;UNIT12278
1000421;RUIISTI126;UNIT00001
1000421;RUOORGA007;UNIT00012
1000421;RUOORGA012;UNIT12278
1000537;FACADD001;UNIT08624
1000537;PTAREG002;UNIT08909
1000537;RUOORGA001;UNIT08624
1000537;RUOORGA001;UNIT08909
1000772;FACREG003;UNIT08628
1000772;RUOORGA001;UNIT08628
1000778;FACREG002;UNIT08624
1000778;OTHEXT001;UNIT000002
1000778;OTHEXT001;UNIT00001
1000778;RUIISTI002;UNIT00001
1000778;RUIISTI020;UNIT000002
1000778;RUOORGA001;UNIT08624
1000906;FACREG002;UNIT08624
1000906;OTHEXT001;UNIT000274
1000906;RUIISTI018;UNIT000274
1000906;RUOORGA001;UNIT08624
1002951;OTHEXT001;UNIT000002
1002951;RUIISTI020;UNIT000002
1003072;FACREG003;UNIT08624
1003072;RUOORGA001;UNIT08624
1003162;FACLOC001;UNIT09701
1003162;FACREG002;UNIT08625
1003162;FACREG002;UNIT09701
1003162;RUOORGA001;UNIT08625
1003162;RUOORGA004;UNIT09701
1003162;RUOORGA008;UNIT09701
1003263;PTAREG003;UNIT00143
1003263;RUOORGA012;UNIT00143
1003412;FACREG006;UNIT08624
1003412;RUOORGA001;UNIT08624
1003638;FACREG002;UNIT08625
1003638;OTHEXT001;UNIT000002
1003638;OTHEXT001;UNIT00001
1003638;RUIISTI001;UNIT00001
1003638;RUIISTI018;UNIT000002
1003638;RUOORGA001;UNIT08625
1003709;PTAREG002;UNIT00237
1003709;RUOORGA012;UNIT00237
1003946;PTAREG002;UNIT00867
1003946;RUOORGA012;UNIT00867
1004406;FACREG002;UNIT08625
1004406;OTHEXT001;UNIT08625
1004406;RUIISTI069;UNIT08625
1004406;RUOORGA001;UNIT08625
1004406;RUOORGA021;UNIT08625
1004712;FACREG002;UNIT08628
1004712;OTHEXT001;UNIT08628
1004712;RUIISTI069;UNIT08628
1004712;RUOORGA001;UNIT08628
1004712;RUOORGA021;UNIT08628
1004729;PTAREG002;UNIT08909
1004729;RUOORGA012;UNIT08909
1004783;PTAREG002;UNIT12831
1004783;RUOORGA012;UNIT12831
1004886;FACADD004;UNIT08624
1004886;OTHEXT001;UNIT000274
1004886;RUIISTI020;UNIT000274
1004886;RUOORGA001;UNIT08624
1006142;RUOORGA009;UNIT00477
1006142;STUPOR001;UNIT00477
1006317;RUOORGA009;UNIT00477
1006317;STUPOR001;UNIT00477
1010507;RUOORGA009;UNIT00484
1010507;STUPOR001;UNIT00484
1020302;RUOORGA009;UNIT00484
1020302;STUPOR001;UNIT00484
1035092;PTAREG002;UNIT09626
1035092;RUOORGA012;UNIT09626
1050467;PTAREG002;UNIT08898
1050467;RUOORGA001;UNIT08898
1127966;FACADD006;UNIT08628
1127966;RUOORGA001;UNIT08628
1169172;FACADD006;UNIT08624
1169172;RUOORGA001;UNIT08624
1180169;FACADD017;UNIT08625
1180169;RUOORGA001;UNIT08625
1185453;FACADD006;UNIT08625
1185453;RUOORGA001;UNIT08625
1185453;RUOORGA009;UNIT09701
1185453;STUPGR001;UNIT09701
1188141;FACADD003;UNIT08628
1188141;RUOORGA001;UNIT08628
1223105;OTHEXT001;UNIT00001
1223105;PTAREG003;UNIT00870
1223105;RUOORGA012;UNIT00870
1228874;OTHEXT006;UNIT00870
1228874;RUOORGA001;UNIT00870
1242040;RUOORGA009;UNIT09701
1242040;STUPGR001;UNIT09701
1244287;PTAREG002;UNIT00237
1244287;RUOORGA001;UNIT00237