FACADD001;Contract professor;118256
FACADD004;Teaching Assistant;118256
FACLOC001;Teacher;118256
FACADD006;Junior researcher;118259
STUPGR001;PhD student;118261
OTHEXT001;Other staff;118264
PTAREG002;Administrative staff;118264
PTAREG003;Executive manager;118266
OTHEXT006;Student worker;118269
RUIISTI126;General director;54235
RUIISTI002;Vice-rector;118274
RUIISTI088;Rector's delegate;118275
RUIISTI020;Member;37
RUOORGA001;Affiliate;52183
FACREG003;Associate professor;52409
RUIISTI001;Rector of the University;52974
RUOORGA004;Coordinator;53282
RUIISTI069;Director of the department;53485
RUIISTI070;Director of the research center;53485
FACADD019;Emeritus professor;53787
RUOORGA009;Enrollee;53826
FACREG002;Full professor;54173
RUOORGA012;Head;54485
RUOORGA014;Head of the University;54485
RUOORGA021;Head of the department;54485
RUOORGA007;General director;54485
RUIISTI018;President;56251
FACREG006;Fixed-term researcher;56569
FACADD017;Researcher;56569
STUPOR001;Student;57408
STUUGR001;Bachelor student;57408
STUGRA001;Master student;57408
STUGRA002;Master student 5 years degree;57408
RUOORGA008;Teaches in;57580
FACADD003;Visiting professor;57983