10055;Law;LM5;90065;Administrative Law;UNIT08624;1000313;0
10055;Law;LM5;90065;Administrative Law;UNIT08624;1006317;1
10055;Law;LM5;86600;Criminal Law;UNIT08624;1003072;0
10055;Law;LM5;85287;Comparative Private Law;UNIT08624;1003072;0
10055;Law;LM5;90058;Roman Law;UNIT08624;1000313;0
10055;Law;LM5;90059;Comparative Legal Systems;UNIT08624;1003412;0
10115;Mathematics;L2;87747;Algorithms and data structures;UNIT08628;1000099;0
10115;Mathematics;L2;87747;Algorithms and data structures;UNIT08628;1006142;1
10115;Mathematics;L2;89070;Numerical Analysis;UNIT08628;1004712;0
10115;Mathematics;L2;94873;Algebra;UNIT08628;1004712;0
10115;Mathematics;L2;89858;Geometry;UNIT08628;1000356;0
10170;Mathematics;LM;92173;History of Mathematics;UNIT08628;1188141;0
10170;Mathematics;LM;94245;Advanced Number Theory;UNIT08628;1000099;0
10170;Mathematics;LM;90659;Statistics;UNIT08628;1004712;0
10170;Mathematics;LM;91161;Group theory;UNIT08628;1002951;0
10170;Mathematics;LM;92623;Mathematical Physics;UNIT08628;1000772;0
10563;Materials and production Engineering;LM;92502;Biomechanics;UNIT08625;1004406;0
10563;Materials and production Engineering;LM;92070;Glass engineering;UNIT08625;1003638;0
10563;Materials and production Engineering;LM;95321;Engineering properties of materials;UNIT08625;1004406;0
10563;Materials and production Engineering;LM;95319;Product design;UNIT08625;1004406;0
10563;Materials and production Engineering;LM;92075;Sustainable materials;UNIT08625;1004406;0
10563;Materials and production Engineering;LM;92075;Sustainable materials;UNIT08625;1242040;1
10563;Materials and production Engineering;LM;92075;Sustainable materials;UNIT08625;1185453;1